"scenario_id","kind","method","excluded_probability","point_missing_probability","ci_missing_probability","p_missing_probability","point_converged_probability","point_nonconverged_probability","convergence_unknown_probability","ci_diagnostic_failed_probability","plrt_iteration_limit_probability","closed_form_error_over_1e8_probability"
"C100R50","simulation","brglm2|bg_asmean_maxit5000|Wald",0.004,0,0,0,0.996,0,0,0,0,
"C40R90","simulation","brglm2|bg_asmean_maxit5000|Wald",0.0524,0,0,0,0.9476,0,0,0,0,
"C100R90","simulation","brglm2|bg_asmean_maxit5000|Wald",0.0044,0,0,0,0.9956,0,0,0,0,
"C40R99","simulation","brglm2|bg_asmean_maxit5000|Wald",0.0532,0,0,0,0.9468,0,0,0,0,
"C100R99","simulation","brglm2|bg_asmean_maxit5000|Wald",0.0044,0,0,0,0.9956,0,0,0,0,
"E020R1","exact","brglm2|bg_mpl_default|Wald",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0.297520661157025
"E050R1","exact","brglm2|bg_mpl_default|Wald",0.0029585798816568,0,0,0,0.997041420118343,0,0,0,0,0.230769230769231
"E100R1","exact","brglm2|bg_mpl_default|Wald",0.000768935024990388,0,0,0,0.99923106497501,0,0,0,0,0.362168396770473
"E200R1","exact","brglm2|bg_mpl_default|Wald",0.000196059209881384,0,0,0,0.999803940790118,0,0,0,0,0.232722282129203
"E020R4","exact","brglm2|bg_mpl_default|Wald",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0.964705882352941
"E050R4","exact","brglm2|bg_mpl_default|Wald",0.00443458980044346,0,0,0,0.995565410199557,0,0,0,0,0.993348115299335
"E100R4","exact","brglm2|bg_mpl_default|Wald",0.00117577895355673,0,0,0,0.998824221046443,0,0,0,0,0.998236331569665
"E200R4","exact","brglm2|bg_mpl_default|Wald",0.00030298439630359,0,0,0,0.999697015603697,0,0,0,0,0.996515679442509
"C40R00","simulation","brglm2|bg_mpl_default|Wald",0.048,0,0,0,0.9516,4e-04,0,4e-04,0,
"C100R00","simulation","brglm2|bg_mpl_default|Wald",0.0032,0,0,0,0.9968,0,0,0,0,
"C40R50","simulation","brglm2|bg_mpl_default|Wald",0.048,0,0,0,0.9508,0.0012,0,0.0012,0,
"C100R50","simulation","brglm2|bg_mpl_default|Wald",0.004,0,0,0,0.996,0,0,0,0,
"C40R90","simulation","brglm2|bg_mpl_default|Wald",0.0524,0,0,0,0.9464,0.0012,0,0.0012,0,
"C100R90","simulation","brglm2|bg_mpl_default|Wald",0.0044,0,0,0,0.9952,4e-04,0,4e-04,0,
"C40R99","simulation","brglm2|bg_mpl_default|Wald",0.0532,0,0,0,0.946,8e-04,0,8e-04,0,
"C100R99","simulation","brglm2|bg_mpl_default|Wald",0.0044,0,0,0,0.9952,4e-04,0,4e-04,0,
"E020R1","exact","brglm2|bg_mpl_epsilon12|Wald",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0
"E050R1","exact","brglm2|bg_mpl_epsilon12|Wald",0.0029585798816568,0,0,0,0.997041420118343,0,0,0,0,0
"E100R1","exact","brglm2|bg_mpl_epsilon12|Wald",0.000768935024990388,0,0,0,0.99923106497501,0,0,0,0,0
"E200R1","exact","brglm2|bg_mpl_epsilon12|Wald",0.000196059209881384,0,0,0,0.999803940790118,0,0,0,0,0
"E020R4","exact","brglm2|bg_mpl_epsilon12|Wald",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0
"E050R4","exact","brglm2|bg_mpl_epsilon12|Wald",0.00443458980044346,0,0,0,0.995565410199557,0,0,0,0,0
"E100R4","exact","brglm2|bg_mpl_epsilon12|Wald",0.00117577895355673,0,0,0,0.998824221046443,0,0,0,0,0
"E200R4","exact","brglm2|bg_mpl_epsilon12|Wald",0.00030298439630359,0,0,0,0.999697015603697,0,0,0,0,0
"C40R00","simulation","brglm2|bg_mpl_epsilon12|Wald",0.048,0,0,0,0.952,0,0,0,0,
"C100R00","simulation","brglm2|bg_mpl_epsilon12|Wald",0.0032,0,0,0,0.9968,0,0,0,0,
"C40R50","simulation","brglm2|bg_mpl_epsilon12|Wald",0.048,0,0,0,0.952,0,0,0,0,
"C100R50","simulation","brglm2|bg_mpl_epsilon12|Wald",0.004,0,0,0,0.996,0,0,0,0,
"C40R90","simulation","brglm2|bg_mpl_epsilon12|Wald",0.0524,0,0,0,0.9476,0,0,0,0,
"C100R90","simulation","brglm2|bg_mpl_epsilon12|Wald",0.0044,0,0,0,0.9956,0,0,0,0,
"C40R99","simulation","brglm2|bg_mpl_epsilon12|Wald",0.0532,0,0,0,0.9468,0,0,0,0,
"C100R99","simulation","brglm2|bg_mpl_epsilon12|Wald",0.0044,0,0,0,0.9956,0,0,0,0,
"E020R1","exact","brglm2|bg_mpl_maxit5000|Wald",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0.297520661157025
"E050R1","exact","brglm2|bg_mpl_maxit5000|Wald",0.0029585798816568,0,0,0,0.997041420118343,0,0,0,0,0.230769230769231
"E100R1","exact","brglm2|bg_mpl_maxit5000|Wald",0.000768935024990388,0,0,0,0.99923106497501,0,0,0,0,0.362168396770473
"E200R1","exact","brglm2|bg_mpl_maxit5000|Wald",0.000196059209881384,0,0,0,0.999803940790118,0,0,0,0,0.232722282129203
"E020R4","exact","brglm2|bg_mpl_maxit5000|Wald",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0.964705882352941
"E050R4","exact","brglm2|bg_mpl_maxit5000|Wald",0.00443458980044346,0,0,0,0.995565410199557,0,0,0,0,0.993348115299335
"E100R4","exact","brglm2|bg_mpl_maxit5000|Wald",0.00117577895355673,0,0,0,0.998824221046443,0,0,0,0,0.998236331569665
"E200R4","exact","brglm2|bg_mpl_maxit5000|Wald",0.00030298439630359,0,0,0,0.999697015603697,0,0,0,0,0.996515679442509
"C40R00","simulation","brglm2|bg_mpl_maxit5000|Wald",0.048,0,0,0,0.952,0,0,0,0,
"C100R00","simulation","brglm2|bg_mpl_maxit5000|Wald",0.0032,0,0,0,0.9968,0,0,0,0,
"C40R50","simulation","brglm2|bg_mpl_maxit5000|Wald",0.048,0,0,0,0.952,0,0,0,0,
"C100R50","simulation","brglm2|bg_mpl_maxit5000|Wald",0.004,0,0,0,0.996,0,0,0,0,
"C40R90","simulation","brglm2|bg_mpl_maxit5000|Wald",0.0524,0,0,0,0.9476,0,0,0,0,
"C100R90","simulation","brglm2|bg_mpl_maxit5000|Wald",0.0044,0,0,0,0.9956,0,0,0,0,
"C40R99","simulation","brglm2|bg_mpl_maxit5000|Wald",0.0532,0,0,0,0.9468,0,0,0,0,
"C100R99","simulation","brglm2|bg_mpl_maxit5000|Wald",0.0044,0,0,0,0.9956,0,0,0,0,
"E020R1","exact","logistf|lf_irls_default|PL",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0
"E050R1","exact","logistf|lf_irls_default|PL",0.0029585798816568,0,0,0,0.997041420118343,0,0,0,0,0
"E100R1","exact","logistf|lf_irls_default|PL",0.000768935024990388,0,0,0,0.99923106497501,0,0,0,0,0
"E200R1","exact","logistf|lf_irls_default|PL",0.000196059209881384,0,0,0,0.999803940790118,0,0,0,0,0
"E020R4","exact","logistf|lf_irls_default|PL",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0
